username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
VWNControlDesk;2017-09-06 17:18;0;0;"NEWS UPDATE Tropical Depression Harvey The death toll across the affected areas has risen to at least 70 - it could still rise further pic.twitter.com/vXpBVjYUjx";;;;"905555719826677765";https://twitter.com/VWNControlDesk/status/905555719826677765
MissTexasStan;2017-09-06 14:28;1;1;"Hurricane Harvey Texas under water Hurricane Irma Tropical storm Jose Tropical depression katia DACA California on fire TBC...";;;;"905513139210477568";https://twitter.com/MissTexasStan/status/905513139210477568
darthstar99;2017-09-06 13:25;0;1;"So the Tropical Depression in the Gulf got upgraded and got a name...that's where Harvey was born too.";;;;"905497227807907840";https://twitter.com/darthstar99/status/905497227807907840
KellyJGuide;2017-09-06 06:55;0;2;"Harvey last week. Irma this week. Jose in the Atlantic right behind Irma. New tropical depression in the gulf. Yet you act like it's a game.";;;;"905398969001549824";https://twitter.com/KellyJGuide/status/905398969001549824
newlonharper;2017-09-06 05:15;0;7;"it stronger. Harvey was a tropical depression and turned into a category 5 within under 48 hours";;;;"905373978117763073";https://twitter.com/newlonharper/status/905373978117763073
zawmintu;2017-09-06 01:03;0;1;"Hurricane Harvey , Hurricane Irma, Tropical Storm Jose, Tropical Depression THIRTEEN. Mother nature is angry! http://www. nhc.noaa.gov pic.twitter.com/Ln8Fr8Ajss";;;;"905310529425731584";https://twitter.com/zawmintu/status/905310529425731584
Facey___;2017-09-05 23:06;0;1;"Ok so.... Hurricane Harvey , Irma, tropical storm José, & NOW tropical depression 13 has formed in the gulf, like right outside of Texas... pic.twitter.com/QSTmAU2pGH";;;;"905280906503622657";https://twitter.com/Facey___/status/905280906503622657
cmarieharvey;2017-09-05 22:22;6;5;"Tropical depression forming east of Mexico, could become hurricane within days. NHC puts oil town of Veracruz on watch #OOTT";;;#OOTT;"905269841627578369";https://twitter.com/cmarieharvey/status/905269841627578369
xDEADMAN108;2017-09-05 22:13;0;0;"What if hurricane harvey was a precursor/warning of the storms to come(irma,jose and a tropical depression forming in the gulf)";;;;"905267690796974080";https://twitter.com/xDEADMAN108/status/905267690796974080
Exercisms_;2017-09-05 21:06;0;2;"Hurricane Harvey , Hurricane Irma, Hurricane Jose is forming in 24-36 hours & a tropical depression is supposed to hit mexico. Were all dead.";;;;"905250807762870272";https://twitter.com/Exercisms_/status/905250807762870272
SoFLGroup;2017-09-05 20:50;0;1;"Harvey jumped from tropical depression to a cat 4 hurricane in 60 hours, 2.5 days. Floridans have 4 day warning on a category 5. #gtfo #fl";;;#gtfo #fl;"905246692462784512";https://twitter.com/SoFLGroup/status/905246692462784512
Scubagirl777;2017-09-05 20:34;0;0;"Harvey , Irma, Jose, tropical depression #13; maybe the US should have stayed in the Paris Agreement. @realDonaldTrump #Karma";;@realDonaldTrump;#13 #Karma;"905242780892573700";https://twitter.com/Scubagirl777/status/905242780892573700
OnWeather1;2017-09-05 20:22;0;0;"Tropical Depression Harvey and Tropical Storm Irma, August 31,2017 09:15UTC http:// kzq.cz/OTngu pic.twitter.com/WX4A0yUapF";;;;"905239639421681671";https://twitter.com/OnWeather1/status/905239639421681671
writermelle;2017-09-05 18:32;1;1;"Tropical Depression 13 has developed in the Gulf...you know, the one they said wouldn't form...in the same place Harvey developed...? Yeah.";;;;"905211955564212224";https://twitter.com/writermelle/status/905211955564212224
KSinCFL;2017-09-05 18:21;0;0;"We had a tropical depression off FL west coast, had lots of rain in Cent FL over the past two weeks during Harvey .";;;;"905209426080133120";https://twitter.com/KSinCFL/status/905209426080133120
ThinkItPositive;2017-09-05 18:00;0;0;"It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... http:// fb.me/1JHXGfAJK";;;;"905203907101642754";https://twitter.com/ThinkItPositive/status/905203907101642754
blumooons;2017-09-05 17:50;0;1;"Which is what they say HAARP is doin, While hurricane Harvey was still a tropical depression .. Houston wasn't in the direct path.. pic.twitter.com/7pwVlAarik";;;;"905201406814117888";https://twitter.com/blumooons/status/905201406814117888
KcharlesNewsNow;2017-09-05 17:10;1;0;"Harvey , Irma... now there's Jose AND Tropical Depression 13. This is such a nightmare!";;;;"905191523167424512";https://twitter.com/KcharlesNewsNow/status/905191523167424512
LoveKnowledgeHQ;2017-09-05 17:00;0;0;""Hurricane Harvey has been downgraded from a Category 4 hurricane to a tropical depression as it moves over... http:// fb.me/wb8sdA2Y";;;;"905188805543690240";https://twitter.com/LoveKnowledgeHQ/status/905188805543690240
R3start3d;2017-09-05 16:42;0;0;"Hurricane Harvey , Hurricane Irma, Tropical storm Jose (will most likey be a hurricane) and tropical depression 13. #IrmaHurricane";;;#IrmaHurricane;"905184476342480897";https://twitter.com/R3start3d/status/905184476342480897
christine_737;2017-09-05 16:00;0;0;"Hurricane Harvey , Hurricane Irma, TS Jose and Tropical Depression 13. I need to move inland. But not toward tornados.";;;;"905173873976598528";https://twitter.com/christine_737/status/905173873976598528
Railway_News;2017-09-05 14:00;0;0;"Tropical Depression Harvey continues to cause major rail disruptions http:// bit.ly/2gsA8yF";;;;"905143729568219137";https://twitter.com/Railway_News/status/905143729568219137
lauren062497;2017-09-05 13:55;0;1;"And the remnants of harvey are brewing into a tropical depression or storm again and heading for the Texas coast again.";;;;"905142288694878208";https://twitter.com/lauren062497/status/905142288694878208
OurWorldsView;2017-09-05 12:25;0;0;"It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... http:// fb.me/wMHQyZXQ";;;;"905119727281942528";https://twitter.com/OurWorldsView/status/905119727281942528
TeazherMO;2017-09-05 12:09;0;0;"The Tropical Depression tour: Hurricane Harvey b2b Hurricane Irma on the main stage.";;;;"905115753321349120";https://twitter.com/TeazherMO/status/905115753321349120
Kheldarn;2017-09-05 11:48;0;0;"Seriously, Irma, there's no need to compete with Harvey . Calm down, and go back to being a tropical depression .";;;;"905110417290268672";https://twitter.com/Kheldarn/status/905110417290268672
jayesh_kashyap;2017-09-05 09:50;0;0;"It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... http:// fb.me/4cDZ68Xc4";;;;"905080707445227520";https://twitter.com/jayesh_kashyap/status/905080707445227520
StarWars7345687;2017-09-05 09:39;0;2;"Update: Harvey : Tropical Depression . Irma: Category 5 Hurricane. Largest City in Path: Harvey : Washington, DC. Irma: Miami, Florida.";;;;"905077810896801793";https://twitter.com/StarWars7345687/status/905077810896801793
NeogenCorp;2017-09-05 07:10;0;1;"Tropical Depression Harvey Drenches Delta Farmers with Harvest Underway https://www. dtnpf.com/agriculture/we b/ag/news/article/2017/09/01/tropical-depression-harvey-drenches?referrer=twitter#.Wa6UNoZdO1A.twitter …";;;#;"905040452633714688";https://twitter.com/NeogenCorp/status/905040452633714688
seofixup;2017-09-05 02:26;0;0;"SOS Alert Tropical Depression Harvey Gulf Coast,United States #keepsafe #besafe #takecaretexas https:// lnkd.in/fDQqnAk";;;#keepsafe #besafe #takecaretexas;"904968861715501056";https://twitter.com/seofixup/status/904968861715501056
Bigfan_Gamer;2017-09-04 19:14;0;0;"Information about Tropical Depression Harvey in Google Search https:// g.co/kgs/C42PNB it is going to here half of it be prepared";;;;"904860306098270208";https://twitter.com/Bigfan_Gamer/status/904860306098270208
dblSpEk;2017-09-04 13:25;0;0;"Harvey went from a tropical depression , then a C4 hurricane after being seeded, did the Deep State seed Irma? @StateDept @DHSgov pic.twitter.com/SZ4ME8R4g0";;@StateDept @DHSgov;;"904772457600499713";https://twitter.com/dblSpEk/status/904772457600499713
Expose_The_Real;2017-09-04 12:38;0;1;"It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... http:// fb.me/ZtFpeTdE";;;;"904760574545977344";https://twitter.com/Expose_The_Real/status/904760574545977344
GoodMenProject;2017-09-04 12:31;3;2;"It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... http:// fb.me/1m2Zb0KGt";;;;"904758757787348998";https://twitter.com/GoodMenProject/status/904758757787348998
RicochetEJHill;2017-09-04 12:18;0;3;"Obviously they were impressed with what Harvey did to Texas and want to use him up. Mets are their own tropical depression .";;;;"904755444698279937";https://twitter.com/RicochetEJHill/status/904755444698279937
everythingbiker;2017-09-04 12:14;0;0;"It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... http:// fb.me/1i61JjqCr";;;;"904754680198303747";https://twitter.com/everythingbiker/status/904754680198303747
younews_in;2017-09-04 09:06;0;0;"It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... http:// fb.me/8K7Gcc8XN";;;;"904707279185887232";https://twitter.com/younews_in/status/904707279185887232
ulisesmcarlin;2017-09-04 07:14;0;0;"HOWEVER, Harvey has weakened to a tropical depression now & Plotz's whole concern seems to be about a global warming doomsday.";;;;"904679018242482176";https://twitter.com/ulisesmcarlin/status/904679018242482176
WordnewsUs;2017-09-04 00:30;0;0;"The hurricane " Harvey " has weakened to a tropical depression — Rambler News Service http:// wordnews.us/articles/the-h urricane-40534 …";;;;"904577280701235206";https://twitter.com/WordnewsUs/status/904577280701235206
OnWeather1;2017-09-03 23:32;0;0;"Nashville, TN Tropical Depression Harvey Flooding Closes I40 - 8/31/2017 http:// aqz.es/FkPem pic.twitter.com/E8oKm1xuaD";;;;"904562671713787904";https://twitter.com/OnWeather1/status/904562671713787904
