"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@russotalks Did you know a small hurricane is coming here too? Or some tropical depression or something I don't kno… https://t.co/GdfyDz5luK",FALSE,0,"russotalks",2017-09-07 20:37:04,TRUE,"905876473483071488","905892696895651840","863689794","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cole_sweeter",0,FALSE,FALSE,NA,NA
"2","@Mikel_Jollett Also, which ""same week"" are you referring too? Because Irma formed 9 DAYS after Harvey was in the Gu… https://t.co/UVoBwI3NB1",FALSE,0,"Mikel_Jollett",2017-09-07 12:13:44,TRUE,"905194157718700033","905766029296533505","594175899","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UnderDunn",0,FALSE,FALSE,NA,NA
"3","RT @BostonJerry: Harvey went from tropical depression to Category 4 in three days bc the water in the Gulf of Mexico was 86 degrees. That's…",FALSE,0,NA,2017-09-07 05:05:18,FALSE,NA,"905658211423862786",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Keyshasays",72,TRUE,FALSE,NA,NA
"4","@CNN My experience going through 2 hurricanes and a stagnant tropical depression in Houston (NOT inc Harvey): FIVE… https://t.co/k2nYWvl8Qm",FALSE,1,"CNN",2017-09-07 03:51:53,TRUE,"905637388784984064","905639733748891648","759251","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MsPamelaM",0,FALSE,FALSE,NA,NA
"5","RT @DeeJones_: 1st Harvey formed and did damage then Irma started to form and Jose is right behind Irma as a tropical depression",FALSE,0,NA,2017-09-07 03:27:46,FALSE,NA,"905633664687632386",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DaT_Gator",2,TRUE,FALSE,NA,NA
"6","RT @DeeJones_: 1st Harvey formed and did damage then Irma started to form and Jose is right behind Irma as a tropical depression",FALSE,0,NA,2017-09-07 03:17:24,FALSE,NA,"905631057319526400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DeeJones_",2,TRUE,FALSE,NA,NA
"7","1st Harvey formed and did damage then Irma started to form and Jose is right behind Irma as a tropical depression",FALSE,0,"DeeJones_",2017-09-07 03:09:48,FALSE,"905628804223291392","905629146356834304","234105582","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DeeJones_",2,FALSE,FALSE,NA,NA
"8","Harvey Soaks Southern Crops: Louisiana farmers took the brunt of the rain and crop damage. https://t.co/Pixe07Ro42",FALSE,0,NA,2017-09-07 01:30:09,FALSE,NA,"905604067673735169",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VoiceofLaAg",0,FALSE,FALSE,NA,NA
"9","@KadaburaDraws Good luck! I've got Harvey overhead here as a tropical depression, and it's still a pain",FALSE,1,"KadaburaDraws",2017-09-07 01:22:34,FALSE,"905593577350287360","905602156702642176","2893849749","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Just_D3sp",0,FALSE,FALSE,NA,NA
"10","Nashville, TN Tropical Depression Harvey Flooding Closes I40 - 8/31/2017 https://t.co/LCH7OGXF2L https://t.co/fFTC1MRfeO",FALSE,0,NA,2017-09-07 00:47:03,FALSE,NA,"905593219823484928",NA,"<a href=""https://buzcast.com"" rel=""nofollow"">Buzcast.com</a>","OnWeather1",0,FALSE,FALSE,NA,NA
